date,open,high,low,close,closeadj,volume
2020-09-08,4.06,4.1,3.885,3.91,3.91,1014056
2020-09-09,3.9,3.968,3.885,3.92,3.92,604257
2020-09-10,3.92,3.95,3.67,3.7,3.7,1573227
2020-09-11,3.68,3.75,3.575,3.63,3.63,1357657
2020-09-14,3.63,3.65,3.35,3.47,3.47,1654348
2020-09-15,3.5,3.59,3.41,3.51,3.51,2476355
2020-09-16,3.5,3.54,3.43,3.46,3.46,1013262
2020-09-17,3.43,3.49,3.36,3.38,3.38,1125361
2020-09-18,3.38,3.38,3.2,3.26,3.26,1725373
2020-09-21,3.2,3.22,3,3.02,3.02,4526004
2020-09-22,3.05,3.305,3.05,3.22,3.22,2532868
2020-09-23,3.27,3.27,3,3.06,3.06,1382754
2020-09-24,3.06,3.19,3.01,3.1,3.1,4346760
2020-09-25,3.13,3.13,2.93,3.01,3.01,2505996
2020-09-28,3.03,3.05,2.99,3,3,1001521
2020-09-29,3.01,3.04,2.94,2.99,2.99,1099461
2020-09-30,3,3.04,2.9,3,3,1678430
2020-10-01,3.03,3.06,2.975,3,3,648369
2020-10-02,2.95,2.97,2.91,2.94,2.94,578694
2020-10-05,2.95,2.95,2.72,2.74,2.74,1737492
2020-10-06,2.8,2.908,2.745,2.79,2.79,1731785
2020-10-07,2.86,3.015,2.73,2.97,2.97,4678592
2020-10-08,3.03,3.03,2.82,2.88,2.88,1763663
2020-10-09,2.93,2.93,2.76,2.86,2.86,1355249
2020-10-12,2.88,2.89,2.75,2.84,2.84,1365162
2020-10-13,2.82,2.83,2.77,2.79,2.79,748846
2020-10-14,2.77,2.79,2.6,2.7,2.7,2808456
2020-10-15,2.67,2.72,2.52,2.66,2.66,2602142
2020-10-16,2.69,2.7,2.595,2.6,2.6,1313727
2020-10-19,2.66,2.87,2.57,2.61,2.61,2476401
2020-10-20,2.62,2.73,2.565,2.7,2.7,1073529
2020-10-21,2.7,2.85,2.7,2.77,2.77,1375744
2020-10-22,2.78,3.07,2.78,3.04,3.04,2075038
2020-10-23,3.5,3.66,2.86,2.88,2.88,7041032
2020-10-26,2.84,3.14,2.82,2.97,2.97,4137342
2020-10-27,2.99,2.99,2.72,2.75,2.75,3434631
2020-10-28,2.74,2.74,2.47,2.52,2.52,2970512
2020-10-29,2.58,2.875,2.5,2.85,2.85,3206339
2020-10-30,2.8,2.825,2.56,2.57,2.57,1895608
2020-11-02,2.63,2.66,2.46,2.48,2.48,1867027
2020-11-03,2.58,2.65,2.524,2.61,2.61,1673632
2020-11-04,2.6,2.68,2.55,2.57,2.57,1784729
2020-11-05,2.64,2.66,2.53,2.59,2.59,1684701
2020-11-06,2.58,2.7,2.5,2.61,2.61,3196724
2020-11-09,2.82,2.91,2.69,2.7,2.7,4988856
2020-11-10,2.8,2.97,2.77,2.87,2.87,4129830
2020-11-11,2.91,3.14,2.71,2.74,2.74,5410961
2020-11-12,2.79,2.92,2.73,2.81,2.81,4298706
2020-11-13,2.88,3.24,2.88,3.23,3.23,6510410
2020-11-16,3.45,3.65,3.1,3.18,3.18,10672114
2020-11-17,3.25,3.28,2.96,3.11,3.11,7163169
2020-11-18,3.14,3.25,3.03,3.13,3.13,3850955
2020-11-19,3.11,3.12,2.93,3.01,3.01,5459869
2020-11-20,2.88,2.96,2.83,2.87,2.87,7434756
2020-11-23,2.89,2.89,2.64,2.65,2.65,7938811
2020-11-24,2.75,3.09,2.64,2.97,2.97,7254453
2020-11-25,2.91,3.32,2.87,3,3,8812832
2020-11-27,2.97,3.05,2.89,2.96,2.96,3671539
2020-11-30,2.96,3.09,2.8,2.93,2.93,27979775
